,Date,State,Confirmed,Recovered,Deceased,Other,Tested
14453,2021-05-04,Maharashtra,4822902,4107092,71742,2158,28105382.0
14490,2021-05-05,Maharashtra,4880542,4164098,72662,2186,28384582.0
14527,2021-05-06,Maharashtra,4942736,4227940,73515,2206,28661668.0
14564,2021-05-07,Maharashtra,4996758,4265326,74413,2231,28930580.0
14601,2021-05-08,Maharashtra,5053336,4347592,75277,2254,29191331.0
14638,2021-05-09,Maharashtra,5101737,4407818,75849,2287,29438797.0
14675,2021-05-10,Maharashtra,5138973,4469425,76398,2332,29631127.0
14712,2021-05-11,Maharashtra,5179929,4541391,77191,2351,29848791.0
14749,2021-05-12,Maharashtra,5226710,4600196,78007,2378,30100958.0
14786,2021-05-13,Maharashtra,5269292,4654731,78857,2410,30351356.0
14823,2021-05-14,Maharashtra,5309215,4707980,79552,2429,30602140.0
14860,2021-05-15,Maharashtra,5344063,4767053,80512,2466,30839404.0
14897,2021-05-16,Maharashtra,5378452,4826371,81486,2486,31103991.0
14934,2021-05-17,Maharashtra,5405068,4874582,82486,2505,31338407.0
14971,2021-05-18,Maharashtra,5433506,4927480,83777,2522,31588717.0
15008,2021-05-19,Maharashtra,5467537,4978937,84371,2534,31874364.0
15045,2021-05-20,Maharashtra,5497448,5026308,85355,2532,32154275.0
15082,2021-05-21,Maharashtra,5527092,5070801,86618,2552,32441776.0
15119,2021-05-22,Maharashtra,5553225,5111095,87300,2583,32723361.0
15156,2021-05-23,Maharashtra,5579897,5140272,88620,2610,33013516.0
15193,2021-05-24,Maharashtra,5602019,5182592,89212,2635,33277290.0
15230,2021-05-25,Maharashtra,5626155,5218768,90349,2670,33541565.0
15267,2021-05-26,Maharashtra,5650907,5241833,91341,2691,33824959.0
15304,2021-05-27,Maharashtra,5672180,5276203,92225,2711,34086110.0
15341,2021-05-28,Maharashtra,5692920,5307874,93198,2760,34350186.0
15378,2021-05-29,Maharashtra,5713215,5339838,94030,2774,34608945.0
15415,2021-05-30,Maharashtra,5731815,5362370,94844,2800,34861608.0
15452,2021-05-31,Maharashtra,5746892,5395370,95344,2811,35055054.0
15489,2021-06-01,Maharashtra,5761015,5431319,96198,2817,35277653.0
15526,2021-06-02,Maharashtra,5776184,5460589,96751,2828,35514594.0
15563,2021-06-03,Maharashtra,5791413,5486206,97394,2839,35774626.0
15600,2021-06-04,Maharashtra,5805565,5507058,98771,2842,36031395.0
15637,2021-06-05,Maharashtra,5819224,5528834,99512,2851,36271483.0
15674,2021-06-06,Maharashtra,5831781,5543267,100130,2857,36508967.0
15711,2021-06-07,Maharashtra,5842000,5564348,100470,2862,36696139.0
15748,2021-06-08,Maharashtra,5852891,5580925,101172,2867,36907181.0
15785,2021-06-09,Maharashtra,5863880,5597304,101833,2879,37128093.0
15822,2021-06-10,Maharashtra,5876087,5608753,103748,2893,37356704.0
15859,2021-06-11,Maharashtra,5887853,5616857,106367,2925,37611005.0
15896,2021-06-12,Maharashtra,5898550,5631767,108333,2976,37834054.0
15933,2021-06-13,Maharashtra,5908992,5639271,111104,3029,38046590.0
15970,2021-06-14,Maharashtra,5917121,5654003,112696,3068,38215492.0
16007,2021-06-15,Maharashtra,5924773,5669179,114154,3079,38418130.0
16044,2021-06-16,Maharashtra,5934880,5679746,115390,3083,38641639.0
16081,2021-06-17,Maharashtra,5944710,5685636,116026,3088,38857644.0
16118,2021-06-18,Maharashtra,5954508,5699983,116674,3104,39078541.0
16155,2021-06-19,Maharashtra,5963420,5710356,117356,3111,39312920.0
16192,2021-06-20,Maharashtra,5972781,5719457,117961,3122,39514858.0
16229,2021-06-21,Maharashtra,5979051,5733215,118313,3125,39669693.0
16266,2021-06-22,Maharashtra,5987521,5742258,118795,3128,39886554.0
16303,2021-06-23,Maharashtra,5997587,5753290,119303,3135,40128355.0
16340,2021-06-24,Maharashtra,6007431,5762661,119859,3144,40360931.0
16377,2021-06-25,Maharashtra,6017035,5772799,120370,3151,40596965.0
16414,2021-06-26,Maharashtra,6026847,5781551,120881,3164,40831332.0
16451,2021-06-27,Maharashtra,6036821,5790113,121286,3170,41042198.0
16488,2021-06-28,Maharashtra,6043548,5800925,121573,3176,41208361.0
16525,2021-06-29,Maharashtra,6051633,5809548,121804,3183,41398501.0
16562,2021-06-30,Maharashtra,6061404,5819901,121945,3194,41637950.0
16599,2021-07-01,Maharashtra,6070599,5828535,122197,3200,41875217.0
16636,2021-07-02,Maharashtra,6079352,5836920,122353,3212,42096506.0
16673,2021-07-03,Maharashtra,6088841,5845315,122724,3227,42320880.0
16710,2021-07-04,Maharashtra,6098177,5848693,123030,3229,42542943.0
16747,2021-07-05,Maharashtra,6104917,5861720,123136,3234,42712460.0
16784,2021-07-06,Maharashtra,6113335,5872268,123531,3239,42908288.0
16821,2021-07-07,Maharashtra,6122893,5881167,123857,3244,43124800.0
16858,2021-07-08,Maharashtra,6131976,5889982,124296,3254,43350257.0
16895,2021-07-09,Maharashtra,6140968,5900440,125034,3263,43565119.0
16932,2021-07-10,Maharashtra,6149264,5906466,125528,3270,43800139.0
16969,2021-07-11,Maharashtra,6157799,5912479,125878,3277,44010550.0
17006,2021-07-12,Maharashtra,6157799,5912479,125878,3277,44010550.0
